customer_id,gender,senior_citizen,partner,dependents,tenure,contract,internet_service,tech_support,online_security,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn,sentiment_polarity,frustration_score,topic_billing,topic_service,topic_leaving
CUST-00000,1,0,0,0,6,0,1,0,1,0,3,19.35,125.36,1,0,1.0,0.0,0,0,0
CUST-00001,0,0,1,0,56,1,1,1,0,1,3,49.27,2761.1,0,0,0.0,0.5,1,0,0
CUST-00002,1,0,0,0,47,2,0,1,0,0,1,40.27,1690.22,1,0,1.0,0.0,0,0,0
CUST-00003,1,0,1,0,32,2,1,1,0,1,1,67.95,1967.49,2,0,-0.48333333333333334,0.7416666666666667,0,1,0
CUST-00004,1,0,0,0,31,0,1,0,2,1,0,45.31,1343.86,1,0,1.0,0.0,0,0,0
CUST-00005,0,0,0,0,62,0,1,0,0,1,0,53.01,3005.25,0,1,0.0,0.5,0,1,0
CUST-00006,1,0,0,1,6,2,2,0,2,0,0,53.69,343.84,2,0,0.8,0.09999999999999998,0,0,0
CUST-00007,0,0,1,0,50,2,2,0,0,1,1,63.8,3155.31,2,0,0.5,0.25,0,0,0
CUST-00008,1,0,1,1,14,0,1,2,0,1,1,51.79,666.55,2,1,-0.3433333333333333,0.6716666666666666,1,0,0
CUST-00009,1,0,0,0,6,1,1,2,2,1,1,38.46,257.95,3,0,1.0,0.0,0,0,0
CUST-00010,1,0,1,0,38,0,1,2,1,1,2,67.14,2260.34,2,1,-0.049999999999999996,0.525,1,0,0
CUST-00011,0,0,0,0,71,0,1,0,0,1,3,91.69,6450.67,0,1,1.0,0.0,0,0,0
CUST-00012,0,0,0,0,53,0,0,2,0,0,3,68.21,3242.39,1,0,1.0,0.0,0,0,0
CUST-00013,0,0,0,0,55,0,1,0,0,1,2,49.75,2675.23,2,0,0.5,0.25,0,0,0
CUST-00014,1,0,1,1,52,0,1,2,0,1,1,61.92,3080.86,1,0,0.5,0.25,0,0,0
CUST-00015,1,0,0,0,57,2,1,2,2,1,2,18.0,947.79,0,0,0.5,0.25,0,0,0
CUST-00016,1,0,1,1,37,0,2,0,0,1,1,61.51,2080.57,1,0,0.8,0.09999999999999998,0,0,0
