customer_id,gender,senior_citizen,partner,dependents,tenure,contract,internet_service,tech_support,online_security,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST-00000,Male,0,No,No,6,Month-to-month,Fiber optic,No,No internet service,No,Mailed check,19.35,125.36,1,0
CUST-00001,Female,0,Yes,No,56,One year,Fiber optic,No internet service,No,Yes,Mailed check,49.27,2761.1,0,0
CUST-00002,Male,0,No,No,47,Two year,DSL,No internet service,No,No,Credit card,40.27,1690.22,1,0
CUST-00003,Male,0,Yes,No,32,Two year,Fiber optic,No internet service,No,Yes,Credit card,67.95,1967.49,2,0
CUST-00004,Male,0,No,No,31,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,45.31,1343.86,1,0
CUST-00005,Female,0,No,No,62,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,53.01,3005.25,0,1
CUST-00006,Male,0,No,Yes,6,Two year,No,No,Yes,No,Bank transfer,53.69,343.84,2,0
CUST-00007,Female,0,Yes,No,50,Two year,No,No,No,Yes,Credit card,63.8,3155.31,2,0
CUST-00008,Male,0,Yes,Yes,14,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,51.79,666.55,2,1
CUST-00009,Male,0,No,No,6,One year,Fiber optic,Yes,Yes,Yes,Credit card,38.46,257.95,3,0
CUST-00010,Male,0,Yes,No,38,Month-to-month,Fiber optic,Yes,No internet service,Yes,Electronic check,67.14,2260.34,2,1
CUST-00011,Female,0,No,No,71,Month-to-month,Fiber optic,No,No,Yes,Mailed check,91.69,6450.67,0,1
CUST-00012,Female,0,No,No,53,Month-to-month,DSL,Yes,No,No,Mailed check,68.21,3242.39,1,0
CUST-00013,Female,0,No,No,55,Month-to-month,Fiber optic,No,No,Yes,Electronic check,49.75,2675.23,2,0
CUST-00014,Male,0,Yes,Yes,52,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,61.92,3080.86,1,0
CUST-00015,Male,0,No,No,57,Two year,Fiber optic,Yes,Yes,Yes,Electronic check,18.0,947.79,0,0
CUST-00016,Male,0,Yes,Yes,37,Month-to-month,No,No,No,Yes,Credit card,61.51,2080.57,1,0
CUST-00017,Female,0,Yes,Yes,9,Month-to-month,Fiber optic,No internet service,No internet service,No,Credit card,54.99,472.15,2,1
CUST-00018,Male,1,No,Yes,61,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,41.66,2332.39,1,0
CUST-00019,Female,1,No,No,32,Month-to-month,DSL,No internet service,No internet service,No,Mailed check,46.2,1341.77,1,1
CUST-00020,Male,0,Yes,No,36,Month-to-month,DSL,Yes,No,No,Mailed check,54.74,1762.86,1,1
CUST-00021,Male,0,No,No,27,One year,Fiber optic,No,Yes,Yes,Bank transfer,89.81,2416.04,2,1
CUST-00022,Female,0,Yes,No,13,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,92.3,1139.56,2,1
CUST-00023,Male,0,Yes,Yes,67,One year,DSL,No,No,Yes,Bank transfer,41.8,2511.19,1,0
CUST-00024,Female,0,Yes,Yes,57,Two year,DSL,Yes,No,No,Bank transfer,52.05,2720.25,1,0
CUST-00025,Female,0,Yes,Yes,47,Month-to-month,DSL,Yes,No,No,Credit card,52.69,2325.27,2,0
CUST-00026,Male,1,Yes,No,29,Two year,Fiber optic,No,Yes,Yes,Credit card,85.24,2370.67,5,1
CUST-00027,Female,0,No,Yes,60,Two year,Fiber optic,No,Yes,Yes,Credit card,68.64,3976.36,2,0
CUST-00028,Male,0,No,No,39,Two year,Fiber optic,Yes,No,Yes,Mailed check,67.32,2526.6,2,0
CUST-00029,Male,0,Yes,No,32,One year,DSL,No internet service,No,Yes,Electronic check,78.41,2386.36,0,0
CUST-00030,Male,0,Yes,No,32,One year,DSL,No,No internet service,Yes,Mailed check,50.09,1502.7,1,0
CUST-00031,Male,0,Yes,No,16,One year,DSL,No,No internet service,No,Mailed check,99.1,1499.16,0,1
CUST-00032,Male,0,Yes,Yes,6,One year,Fiber optic,No,No internet service,Yes,Mailed check,64.96,434.94,0,1
CUST-00033,Female,0,No,No,40,Month-to-month,DSL,Yes,No,Yes,Bank transfer,43.6,1604.59,1,0
CUST-00034,Female,0,No,Yes,64,Two year,DSL,No internet service,Yes,Yes,Credit card,59.26,3764.99,3,0
CUST-00035,Male,0,No,No,4,One year,No,No,No,Yes,Credit card,95.8,449.27,1,1
CUST-00036,Female,0,Yes,No,62,One year,Fiber optic,Yes,Yes,Yes,Bank transfer,54.37,3237.23,1,0
CUST-00037,Male,0,Yes,Yes,60,Month-to-month,No,Yes,Yes,Yes,Bank transfer,88.74,5014.29,0,0
CUST-00038,Male,0,No,Yes,20,Month-to-month,DSL,Yes,Yes,Yes,Mailed check,49.37,1025.66,0,1
CUST-00039,Male,0,No,Yes,46,Month-to-month,DSL,No,No internet service,Yes,Bank transfer,45.86,1968.41,1,0
CUST-00040,Male,1,Yes,Yes,12,Month-to-month,No,No,No,Yes,Mailed check,81.49,968.31,0,0
CUST-00041,Male,0,Yes,Yes,55,Month-to-month,Fiber optic,No internet service,Yes,Yes,Credit card,43.15,2377.62,0,0
CUST-00042,Male,0,No,Yes,51,Month-to-month,Fiber optic,Yes,No internet service,No,Credit card,85.56,4185.45,5,0
